Project Name,Package Name,Architecture Smell,Cause of the Smell
pacman-system3,pacman_infd.Elements.ExtensionElements,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ATimeBasedElement; EndActionTask; FishElement; PepperElement; PotatoElement; RedBeanElement; FireTask; Projectile; TomatoElement; TrapElement]; [GrenadeElement]; [TeleporterElement; NotUsableAction]. LCC (Lack of Component Cohesion) = 0.23
pacman-system3,pacman_infd.Elements.ExtensionElements,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: pacman_infd.Game; pacman_infd.Elements.
pacman-system3,pacman_infd,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Pacman_INFD]; [DirectionTest]; [ElementsTest]; [ExtentionTest]; [GamWorldTest]; [PathFinderTest]. LCC (Lack of Component Cohesion) = 1.0
pacman-system3,pacman_infd,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: pacman_infd.Game; pacman_infd.Elements.
pacman-system3,pacman_infd,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: pacman_infd.Game; pacman_infd.Elements; pacman_infd.Elements.ExtensionElements.
pacman-system3,pacman_infd,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: pacman_infd.Game; pacman_infd.Strategies.
