Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
pacman-system1,nl.tudelft.jpacman.npc.ghost,Pinky,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman.sprite,AnimatedSprite,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman.sprite,ImageSprite,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman.sprite,PacManSprites,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
pacman-system1,nl.tudelft.jpacman.sprite,Sprite,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman.ui,Action,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman.ui,BoardPanel,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman.ui,ButtonPanel,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman.ui,LevelStatsPanel,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman.ui,PacKeyListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman.ui,PacManUI,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman.ui,PacManUiBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman.ui,PlayerController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman.ui,PlayerTaskMovement,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman.ui,ScorePanel,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman.ui,ScorePanel,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; PLAYER_SCORE_LABEL_INDEX; PLAYER_LIFE_LEFT_LABEL_INDEX; scoreLabels; DEFAULT_SCORE_FORMATTER; scoreFormatter
pacman-system1,nl.tudelft.jpacman.e2e.framework.startup,StartupSteps,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pacman-system1,nl.tudelft.jpacman.e2e.framework.startup,StartupTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
pacman-system1,nl.tudelft.jpacman.e2e.framework.startup,StartupTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
