Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
pacman-system1,nl.tudelft.jpacman.game,SinglePlayerGame,2,0,3,2,32,3,0,0,0.0,1,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/game/SinglePlayerGame.java
pacman-system1,nl.tudelft.jpacman.level,CollisionInteractionMap,2,0,10,5,157,21,0,1,0.2,0,3,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/CollisionInteractionMap.java
pacman-system1,nl.tudelft.jpacman.level,CollisionHandler,0,0,1,0,14,1,1,0,-1.0,2,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/CollisionInteractionMap.java
pacman-system1,nl.tudelft.jpacman.level,InverseCollisionHandler,1,0,2,1,25,2,0,1,0.0,1,1,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/CollisionInteractionMap.java
pacman-system1,nl.tudelft.jpacman.level,CollisionMap,0,0,1,0,14,1,2,0,-1.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/CollisionMap.java
pacman-system1,nl.tudelft.jpacman.level,DefaultPlayerInteractionMap,2,0,3,2,46,5,0,0,0.6666666666666666,0,4,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/DefaultPlayerInteractionMap.java
pacman-system1,nl.tudelft.jpacman.level,FruitPellet,1,1,3,2,22,3,0,2,1.0,2,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/FruitPellet.java
pacman-system1,nl.tudelft.jpacman.level,Level,23,0,32,21,416,65,0,0,0.125,0,1,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/Level.java
pacman-system1,nl.tudelft.jpacman.level,NpcMoveTask,2,0,2,1,31,3,0,0,0.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/Level.java
pacman-system1,nl.tudelft.jpacman.level,DynamicSpawnTask,2,0,2,1,20,2,0,0,0.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/Level.java
pacman-system1,nl.tudelft.jpacman.level,LevelObserver,0,0,2,0,14,2,0,0,-1.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/Level.java
pacman-system1,nl.tudelft.jpacman.level,LevelFactory,12,0,16,15,183,21,0,0,0.25,0,1,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/LevelFactory.java
pacman-system1,nl.tudelft.jpacman.level,RandomGhost,1,0,2,1,20,2,0,0,1.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/LevelFactory.java
pacman-system1,nl.tudelft.jpacman.level,MapParser,21,12,36,6,384,48,0,0,0.19444444444444445,1,2,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/MapParser.java
pacman-system1,nl.tudelft.jpacman.level,ISquareBuilder,0,0,1,0,6,1,0,0,-1.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/MapParser.java
pacman-system1,nl.tudelft.jpacman.level,ADefaultSquareBuilder,6,0,2,1,18,2,0,0,1.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/MapParser.java
pacman-system1,nl.tudelft.jpacman.level,AddSquareParameters,6,6,1,0,24,1,0,0,0.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/MapParser.java
pacman-system1,nl.tudelft.jpacman.level,MakeGridParameters,6,6,1,0,16,1,0,0,0.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/MapParser.java
pacman-system1,nl.tudelft.jpacman.level,Pellet,2,0,4,4,41,4,2,1,0.0,2,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/Pellet.java
pacman-system1,nl.tudelft.jpacman.level,Player,12,0,23,21,232,28,0,1,0.0,12,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/Player.java
pacman-system1,nl.tudelft.jpacman.level,PlayerCollisions,0,0,6,3,52,13,0,1,-1.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/PlayerCollisions.java
pacman-system1,nl.tudelft.jpacman.level,PlayerFactory,1,0,4,3,37,4,0,0,0.75,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/PlayerFactory.java
pacman-system1,nl.tudelft.jpacman.level,PowerPellet,0,0,2,2,14,2,0,2,-1.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/PowerPellet.java
pacman-system1,nl.tudelft.jpacman.level,SpecialUnitySpawner,11,0,8,4,120,19,0,0,0.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/SpecialUnitySpawner.java
pacman-system1,nl.tudelft.jpacman.level,LevelTest,6,0,9,0,105,9,0,0,0.0,0,1,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/test/java/nl/tudelft/jpacman/level/LevelTest.java
pacman-system1,nl.tudelft.jpacman.level.specialbox,SpecialBox,1,0,3,3,33,3,2,1,0.6666666666666666,1,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/specialbox/SpecialBox.java
pacman-system1,nl.tudelft.jpacman.level.specialbox,TrapBox,3,1,4,4,52,4,0,0,0.0,1,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/specialbox/TrapBox.java
pacman-system1,nl.tudelft.jpacman.level.specialbox,StopTrapEffect,1,0,2,2,19,2,0,0,0.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/specialbox/TrapBox.java
pacman-system1,nl.tudelft.jpacman.level.specialbox,TeleporterBox,1,0,6,5,59,8,0,2,0.3333333333333333,1,1,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/specialbox/TeleporterBox.java
pacman-system1,nl.tudelft.jpacman.level.specialbox,BridgeBox,0,0,4,3,60,10,0,2,-1.0,2,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/specialbox/BridgeBox.java
pacman-system1,nl.tudelft.jpacman.level.specialpellet,PepperPellet,6,5,4,2,57,5,0,0,1.0,0,1,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/specialpellet/PepperPellet.java
pacman-system1,nl.tudelft.jpacman.level.specialpellet,TomatoPellet,4,3,2,2,41,2,0,0,1.0,0,1,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/specialpellet/TomatoPellet.java
pacman-system1,nl.tudelft.jpacman.level.specialpellet,SpecialPellet,2,0,6,4,65,6,0,0,0.0,0,1,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/specialpellet/SpecialPellet.java
pacman-system1,nl.tudelft.jpacman.level.specialpellet,StopEffect,1,0,2,2,19,2,0,0,0.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/specialpellet/SpecialPellet.java
pacman-system1,nl.tudelft.jpacman.level.specialpellet,FishPellet,4,3,5,4,72,8,0,0,1.0,0,3,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/specialpellet/FishPellet.java
pacman-system1,nl.tudelft.jpacman.level.specialpellet,StopFishEffect,0,0,2,2,15,2,0,0,-1.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/specialpellet/FishPellet.java
pacman-system1,nl.tudelft.jpacman.level.specialpellet,PotatoPellet,6,4,7,4,79,9,0,0,0.42857142857142855,0,1,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/specialpellet/PotatoPellet.java
pacman-system1,nl.tudelft.jpacman.level.specialpellet,StopPotatoEffect,1,0,2,2,20,2,0,0,0.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/specialpellet/PotatoPellet.java
pacman-system1,nl.tudelft.jpacman.level.specialpellet,GrenadePellet,2,2,4,2,57,7,0,0,1.0,0,1,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/level/specialpellet/GrenadePellet.java
pacman-system1,nl.tudelft.jpacman.npc,Ghost,7,0,12,10,133,18,0,0,0.3333333333333333,3,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/npc/Ghost.java
pacman-system1,nl.tudelft.jpacman.npc.ghost,Blinky,2,0,2,2,38,4,0,0,1.0,1,2,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/npc/ghost/Blinky.java
pacman-system1,nl.tudelft.jpacman.npc.ghost,Clyde,4,0,2,2,56,5,0,0,1.0,0,2,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/npc/ghost/Clyde.java
pacman-system1,nl.tudelft.jpacman.npc.ghost,GhostFactory,1,0,5,5,49,5,0,0,0.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/npc/ghost/GhostFactory.java
pacman-system1,nl.tudelft.jpacman.npc.ghost,Inky,3,0,3,2,52,7,0,0,1.0,0,3,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/npc/ghost/Inky.java
pacman-system1,nl.tudelft.jpacman.npc.ghost,Navigation,8,5,12,5,175,27,0,0,0.25,8,1,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/npc/ghost/Navigation.java
pacman-system1,nl.tudelft.jpacman.npc.ghost,Node,3,0,5,0,59,6,0,0,0.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/npc/ghost/Navigation.java
pacman-system1,nl.tudelft.jpacman.npc.ghost,AssessTargets,5,5,1,1,14,1,0,0,0.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/npc/ghost/Navigation.java
pacman-system1,nl.tudelft.jpacman.npc.ghost,Pinky,3,0,2,2,39,4,0,0,1.0,0,2,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/npc/ghost/Pinky.java
pacman-system1,nl.tudelft.jpacman.npc.ghost,NavigationTest,1,0,9,0,98,9,0,0,0.0,0,4,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/test/java/nl/tudelft/jpacman/npc/ghost/NavigationTest.java
pacman-system1,nl.tudelft.jpacman.sprite,AnimatedSprite,7,0,10,8,122,15,0,0,0.6,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/sprite/AnimatedSprite.java
pacman-system1,nl.tudelft.jpacman.sprite,EmptySprite,0,0,4,4,17,4,0,0,-1.0,1,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/sprite/EmptySprite.java
pacman-system1,nl.tudelft.jpacman.sprite,ImageSprite,1,0,7,5,47,8,0,0,0.2857142857142857,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/sprite/ImageSprite.java
pacman-system1,nl.tudelft.jpacman.sprite,PacManSprites,6,0,24,23,158,26,0,0,0.75,1,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/sprite/PacManSprites.java
pacman-system1,nl.tudelft.jpacman.sprite,Sprite,0,0,4,0,34,4,0,0,-1.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/sprite/Sprite.java
pacman-system1,nl.tudelft.jpacman.sprite,SpriteStore,1,0,4,3,63,7,0,0,0.75,1,1,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/sprite/SpriteStore.java
pacman-system1,nl.tudelft.jpacman.sprite,SpriteTest,3,0,9,9,71,9,0,0,0.0,0,1,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/test/java/nl/tudelft/jpacman/sprite/SpriteTest.java
pacman-system1,nl.tudelft.jpacman.ui,Action,0,0,1,0,10,1,0,0,-1.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/ui/Action.java
pacman-system1,nl.tudelft.jpacman.ui,BoardPanel,4,0,4,1,77,7,0,0,0.75,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/ui/BoardPanel.java
pacman-system1,nl.tudelft.jpacman.ui,ButtonPanel,1,0,1,0,29,2,0,0,0.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/ui/ButtonPanel.java
pacman-system1,nl.tudelft.jpacman.ui,LevelStatsPanel,6,0,3,2,49,5,0,0,0.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/ui/LevelStatsPanel.java
pacman-system1,nl.tudelft.jpacman.ui,PacKeyListener,1,0,4,3,29,5,0,0,0.75,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/ui/PacKeyListener.java
pacman-system1,nl.tudelft.jpacman.ui,PacManUI,5,0,3,2,74,4,0,0,0.6666666666666666,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/ui/PacManUI.java
pacman-system1,nl.tudelft.jpacman.ui,PacManUiBuilder,6,0,8,6,111,9,0,0,0.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/ui/PacManUiBuilder.java
pacman-system1,nl.tudelft.jpacman.ui,PlayerController,5,0,7,5,82,9,0,0,0.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/ui/PlayerController.java
pacman-system1,nl.tudelft.jpacman.ui,PlayerTaskMovement,0,0,1,1,13,3,0,0,-1.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/ui/PlayerController.java
pacman-system1,nl.tudelft.jpacman.ui,ScorePanel,6,1,5,2,88,9,0,0,0.4,0,1,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/ui/ScorePanel.java
pacman-system1,nl.tudelft.jpacman.ui,ScoreFormatter,0,0,1,0,11,1,0,0,-1.0,1,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/main/java/nl/tudelft/jpacman/ui/ScorePanel.java
pacman-system1,nl.tudelft.jpacman.e2e.framework.startup,StartupSteps,1,0,5,4,35,5,0,0,0.6,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/test/java/nl/tudelft/jpacman/e2e/framework/startup/StartupSteps.java
pacman-system1,nl.tudelft.jpacman.e2e.framework.startup,StartupTest,0,0,0,0,6,0,0,0,-1.0,0,0,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/test/java/nl/tudelft/jpacman/e2e/framework/startup/StartupTest.java
pacman-system1,nl.tudelft.jpacman.integration,StartupSystemTest,1,0,4,3,29,4,0,0,0.0,0,1,/home/remdec/Documents/MA2INFO/G3-SoftwareEvolution/scripts/../systems/pacman-system1/src/test/java/nl/tudelft/jpacman/integration/StartupSystemTest.java
