Project Name,Package Name,Architecture Smell,Cause of the Smell
pacman-system1,nl.tudelft.jpacman.board,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: nl.tudelft.jpacman.board; nl.tudelft.jpacman.level
pacman-system1,nl.tudelft.jpacman.board,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Board; BoardFactory; Wall; Ground; Square; Unit; BasicSquare; BasicUnit; BoardFactoryTest; SquareTest; SpecialBoxTest]; [BoardTest]; [OccupantTest]; [SpecialPelletTest]; [DfltPlayer]; [DumbSpecialPellet]; [DfltPlayer]. LCC (Lack of Component Cohesion) = 0.41
pacman-system1,nl.tudelft.jpacman.level,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): nl.tudelft.jpacman.board
pacman-system1,nl.tudelft.jpacman.level,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CollisionInteractionMap; CollisionHandler; InverseCollisionHandler; CollisionMap; PlayerCollisions]; [DefaultPlayerInteractionMap; Pellet; Player; PowerPellet; LevelTest; FruitPellet; LevelFactory; MapParser]; [Level]; [NpcMoveTask]; [DynamicSpawnTask]; [LevelObserver]; [RandomGhost]; [ISquareBuilder]; [ADefaultSquareBuilder]; [AddSquareParameters]; [MakeGridParameters]; [PlayerFactory]; [SpecialUnitySpawner]. LCC (Lack of Component Cohesion) = 0.54
pacman-system1,nl.tudelft.jpacman.level.specialpellet,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PepperPellet]; [TomatoPellet]; [SpecialPellet]; [StopEffect]; [FishPellet]; [StopFishEffect]; [PotatoPellet]; [StopPotatoEffect]; [GrenadePellet]. LCC (Lack of Component Cohesion) = 1.0
pacman-system1,nl.tudelft.jpacman.npc.ghost,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Blinky; Inky; Navigation; Pinky; NavigationTest; Clyde]; [GhostFactory]; [Node]; [AssessTargets]. LCC (Lack of Component Cohesion) = 0.44
pacman-system1,nl.tudelft.jpacman.sprite,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnimatedSprite]; [EmptySprite; SpriteTest]; [ImageSprite]; [PacManSprites]; [Sprite]; [SpriteStore]. LCC (Lack of Component Cohesion) = 0.86
pacman-system1,nl.tudelft.jpacman.ui,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Action]; [BoardPanel]; [ButtonPanel]; [LevelStatsPanel]; [PacKeyListener]; [PacManUI]; [PacManUiBuilder]; [PlayerController]; [PlayerTaskMovement]; [ScorePanel; ScoreFormatter]. LCC (Lack of Component Cohesion) = 0.91
